symbol,symbol_name,arima_order,arima_aic,garch_volatility,garch_q,garch_p,garch_o,garch_mean,garch_distribution,garch_aic,arima_p,arima_d,arima_q
AAPL,Apple,"(2, 0, 2)",52981.24687199898,GARCH,1,1,0,AR,normal,50346.97484779795,2,0,2
MSFT,Microsoft,"(2, 0, 1)",41180.828542174975,GARCH,1,1,0,AR,normal,38730.66238524517,2,0,1
AMZN,Amazon,"(2, 0, 2)",35883.92603856369,GARCH,1,1,0,AR,normal,32903.44290989053,2,0,2
TSLA,Tesla,"(1, 0, 0)",18123.859802742794,GARCH,1,1,0,AR,normal,17751.400084142406,1,0,0
JNJ,Johnson & Johnson,"(1, 0, 2)",55532.816183102485,GARCH,1,1,0,AR,normal,52007.07839580449,1,0,2
XOM,Exxon Mobil,"(2, 0, 2)",55620.24309247537,GARCH,1,1,0,AR,normal,51371.51666979032,2,0,2
WMT,Walmart,"(2, 0, 2)",52479.50036311244,GARCH,1,1,0,AR,normal,49003.65289437451,2,0,2
META,Meta Platforms,"(1, 0, 0)",13547.938063459507,GARCH,1,1,0,AR,normal,13017.809082008953,1,0,0
JPM,JPMorgan Chase & Co.,"(1, 0, 1)",48923.51789617568,GARCH,1,1,0,AR,normal,43988.87637680315,1,0,1
V,Visa,"(2, 0, 1)",15987.603096745654,GARCH,1,1,0,AR,normal,14518.082027977714,2,0,1
KO,Coca-Cola,"(2, 0, 2)",55705.440546074766,GARCH,1,1,0,AR,normal,51708.009427145735,2,0,2
PEP,Pepsico,"(1, 0, 1)",47883.67737879715,GARCH,1,1,0,AR,normal,44188.342347531936,1,0,1
MCD,McDonald's,"(2, 0, 1)",58579.6708433418,GARCH,1,1,0,AR,normal,54218.49822129392,2,0,1
AVGO,Broadcom,"(2, 0, 2)",15843.679766374284,GARCH,1,1,0,AR,normal,15446.501808374534,2,0,2
ACN,Accenture,"(2, 0, 2)",23002.69102179025,GARCH,1,1,0,AR,normal,21258.48169836109,2,0,2
NKE,Nike,"(2, 0, 1)",47282.90264893981,GARCH,1,1,0,AR,normal,45257.101308458135,2,0,1
NFLX,Netflix,"(0, 0, 1)",29023.935725766398,GARCH,1,1,0,AR,normal,28357.02450857661,0,0,1
SBUX,Starbucks,"(2, 0, 0)",35996.80296231048,GARCH,1,1,0,AR,normal,33681.66599215442,2,0,0
FRSH,Freshworks,"(2, 0, 1)",3064.295536240936,GARCH,1,1,0,AR,normal,3009.9286636936586,2,0,1
