date,symbol,stock_name,action,price,money_amount,number_of_stocks
11-Jan-2024 18:04:58,AAPL,Apple,buy,170.87489318847656,99961.8125152588,585.0
11-Jan-2024 18:31:40,AAPL,Apple,sell,170.87489318847656,99961.8125152588,585.0
11-Jan-2024 18:31:40,JPM,JPMorgan Chase & Co.,buy,139.53955078125,42001.40478515625,301.0
11-Jan-2024 18:31:40,V,Visa,buy,236.34683227539065,19380.44024658203,82.0
11-Jan-2024 18:31:40,AMZN,Amazon,buy,121.38999938964844,14202.629928588867,117.0
11-Jan-2024 18:31:40,NFLX,Netflix,buy,411.25,11926.25,29.0
11-Jan-2024 18:31:40,ACN,Accenture,buy,292.67999267578125,11707.19970703125,40.0
11-Jan-2024 18:31:40,NFLX,Netflix,buy,411.25,411.25,1.0
11-Jan-2024 18:31:40,ACN,Accenture,buy,292.67999267578125,292.67999267578125,1.0
11-Jan-2024 18:36:59,AMZN,Amazon,buy,121.38999938964844,0.0,0.0
11-Jan-2024 18:36:59,NFLX,Netflix,sell,411.25,0.0,0.0
11-Jan-2024 18:36:59,ACN,Accenture,sell,292.67999267578125,0.0,0.0
09-Aug-2024 19:45:54,V,Visa,sell,274.2300109863281,22486.860900878906,82.0
09-Aug-2024 19:45:54,AMZN,Amazon,sell,181.0500030517578,3258.9000549316406,18.0
09-Aug-2024 19:45:54,NFLX,Netflix,sell,635.6699829101562,2542.679931640625,4.0
09-Aug-2024 19:45:54,ACN,Accenture,buy,304.59417724609375,3045.9417724609375,10.0
09-Aug-2024 19:45:54,JPM,JPMorgan Chase & Co.,buy,195.83485412597656,8225.063873291016,42.0
09-Aug-2024 19:45:54,META,Meta Platforms,buy,465.3179931640625,13959.539794921875,30.0
09-Aug-2024 19:45:54,NFLX,Netflix,buy,635.6699829101562,2542.679931640625,4.0
09-Aug-2024 19:45:54,META,Meta Platforms,buy,465.3179931640625,465.3179931640625,1.0
